Date,Working_Age_Population,Not_in_Labour_Force,Labour_Force,Emp_SA_Total,Unemployment,PR_SA_Total,UR_SA_Total,Emp_SA_FT_Male,Emp_SA_FT_Female,Emp_SA_FT,Emp_SA_PT_Male,Emp_SA_PT_Female,Emp_SA_PT,PR_SA_Male,PR_SA_Female,UR_SA_Male,UR_SA_Female,FT_Share_Male,FT_Share_Female
1986-04,12.207833269999998,4.601293717,7.56945788055,6.9714272086,0.59803067195,0.6200492514,0.0790057467,3937.77276205,1715.17796571,5.6529507277599995,292.90274639,1025.57373445,1.31847648084,76.00626463,48.38743667,7.52380194,8.47617849,0.9307669080727953,0.6258056742644258
1986-05,12.22866598,4.65519576,7.55811775174,6.96509049626,0.59302725547,0.618065598,0.0784622938,3940.97014309,1713.56345298,5.65453359607,286.05348602,1024.50341417,1.3105569002,75.74534631,48.24884597,7.44697957,8.45587188,0.9323274457114334,0.6258296587050172
1986-06,12.24966424,4.678177539,7.58617537008,7.0055000958099996,0.5806752742700001,0.6192965963,0.076543877,3980.0813486,1707.1681438,5.6872494924,280.93398726,1037.31661615,1.3182506034099999,76.05516596,48.18914591,7.24610228,8.28120691,0.9340687687989043,0.6220359350186743
1986-07,12.27077104,4.683197872,7.60406638096,6.98764072057,0.6164256603899999,0.6196893705000001,0.0810652655,3944.73696507,1707.02306222,5.65176002729,285.06170441,1050.81898887,1.33588069328,75.72425715,48.58810075,7.68380462,8.74740024,0.9326063184834646,0.6189705685085635
1986-08,12.29180418,4.775650065,7.59498340794,6.96926829279,0.62571511515,0.6178900426,0.0823853169,3954.69891319,1714.50856857,5.66920748176,280.64894153,1019.4118695,1.30006081103,75.78922679,48.16950647,7.80143547,8.90755075,0.9337365073290883,0.6271245295566649
1986-09,12.31302499,4.639349665,7.63053084021,6.9943209483,0.63620989191,0.6197121216,0.0833768849,3964.91284345,1708.85997404,5.673772817480001,277.56420266,1042.98392816,1.32054813082,75.89314655,48.42736194,7.93341181,8.95404645,0.9345749665482567,0.6209872488311666
1986-10,12.33481116,4.713430789,7.65485155438,7.01875236252,0.63609919186,0.6205892782,0.0830975215,3957.0243776,1730.32616463,5.687350542230001,278.03471944,1053.36710085,1.33140182029,75.65305387,48.83406945,7.96525684,8.82894248,0.9343492704424536,0.6215936885314967
1986-11,12.35655617,4.738188679,7.644010565079999,7.00813159481,0.63587897027,0.6186198209,0.08318656349999999,3954.44105605,1722.85343044,5.67729448649,273.58344657,1057.25366174,1.3308371083100001,75.51560138,48.5792905,8.11272134,8.63008173,0.9352928426974662,0.6197075771958976
1986-12,12.37853796,4.605913332,7.6655867397,7.0244966913999995,0.6410900483,0.6192643077000001,0.0836322215,3953.55716213,1709.24798391,5.66280514604,290.89360763,1070.79793774,1.36169154537,75.73793044,48.49012346,8.18992553,8.62654549,0.9314649589759646,0.6148272482116177
1987-01,12.401439739999999,4.828206493,7.65231343565,7.02591025717,0.6264031784799999,0.6170504067,0.08185801379999999,3955.49089583,1716.14553085,5.67163642668,284.23549916,1070.03833133,1.35427383049,75.34310398,48.43717696,7.98276618,8.49304601,0.9329589995486794,0.6159484139382074
